"ITAG"	"GO"
"Solyc00g049210.1.1"	"0016020,0008535,0017004,0015886,0015232,0005739"
"Solyc00g049920.1.1"	"0008152,0055114,0006633,0004316,0051287,0005835,0042967"
"Solyc00g050020.1.1"	"0004540,0003723,0008859,0051252"
"Solyc00g050030.1.1"	"0005737,0008152,0055114,0004764,0050661,0008565,0016021,0030288,0015031,0000162,0006571,0009094"
"Solyc00g050130.1.1"	"0008152,0080002,0016757"
"Solyc00g050430.2.1"	"0005634,0045449,0003700,0030528,0003677,0006355,0005667"
"Solyc00g052430.2.1"	"0005739"
"Solyc00g052940.2.1"	"0016020"
"Solyc00g053440.2.1"	"0004872,0016595,0009826,0016021,0009742"
"Solyc00g053740.1.1"	"0003700,0003677,0006355,0005667,0045449"
"Solyc00g055950.1.1"	"0006355,0006817,0005737,0000160,0003700,0003677,0000156,0006796,0005667,0045449"
"Solyc00g055960.1.1"	"0005524,0006355,0007165,0016020,0016021,0016310,0018106,0000160,0000155,0009365"
"Solyc00g056680.1.1"	"0006629,0008970,0004806,0009507,0047714,0009395,0046486"
"Solyc00g057280.1.1"	"0006355,0003677"
"Solyc00g058480.1.1"	"0005634,0006355"
"Solyc00g058490.1.1"	"0006508,0008234"
"Solyc00g058900.1.1"	"0004091,0006629"
"Solyc00g059100.2.1"	"0003714,0000166,0005515"
"Solyc00g059500.1.1"	"0004142,0030572,0016020,0006657"
"Solyc00g060700.1.1"	"0016851,0006260,0015995,0004176,0003677,0006508,0005524,0004252,0015979,0016020,0010007,0006510"
"Solyc00g060710.1.1"	"0015995,0016851,0006260,0004176,0003677,0006508,0005524,0004252,0015979,0010007,0006510"
"Solyc00g060810.2.1"	"0009607,0006952"
"Solyc00g063110.2.1"	"0006869"
"Solyc00g065630.1.1"	"0005112,0005681,0008380,0006397"
"Solyc00g065930.1.1"	"0003824,0008152"
"Solyc00g066150.1.1"	"0009273,0008658,0008360,0004180,0007047,0009252,0009274,0008955"
"Solyc00g066350.1.1"	"0016787"
"Solyc00g068970.2.1"	"0070330,0055114"
"Solyc00g071180.2.1"	"0004869,0050897,0010466,0008233"
"Solyc00g071590.1.1"	"0005622,0009405,0016192,0005097,0005829,0048066,0016021,0030437,0048315,0005634,0032851"
"Solyc00g071600.1.1"	"0032313"
"Solyc00g072100.2.1"	"0005488"
"Solyc00g072400.2.1"	"0005515,0055114,0006979,0016023,0020037,0004601,0006804"
"Solyc00g074210.1.1"	"0015450,0019904,0016020,0031072"
"Solyc00g074810.1.1"	"0009294"
"Solyc00g074820.1.1"	"0004872,0006810,0016020,0005215,0007165"
"Solyc00g074830.1.1"	"0016226"
"Solyc00g075030.2.1"	"0008270,0003676"
"Solyc00g075040.1.1"	"0003677,0008270,0015074"
"Solyc00g080750.2.1"	"0005886,0009624"
"Solyc00g082150.2.1"	"0005488,0009536,0005886,0005515"
"Solyc00g084770.1.1"	"0003676,0004523,0006259,0051252"
"Solyc00g084870.2.1"	"0003700,0010029,0009739,0006355,0007623,0003677,0009737,0005667,0045449"
"Solyc00g085070.2.1"	"0005515,0008144,0016021,0004506,0050660,0016023,0009055,0055114,0009536,0006694,0016114,0006118"
"Solyc00g088080.1.1"	"0005737,0009116,0006166,0003999,0006168"
"Solyc00g088190.1.1"	"0005524,0006189,0016874,0004638,0016887,0006144,0009320"
"Solyc00g088210.1.1"	"0016021,0055085,0022857"
"Solyc00g090110.1.1"	"0009245,0008759,0006807"
"Solyc00g090130.1.1"	"0006886,0016020,0005737,0046872,0005886,0017038,0065002,0005524,0006605"
"Solyc00g090630.1.1"	"0016020,0006810"
"Solyc00g090640.1.1"	"0016020,0006810"
"Solyc00g090650.1.1"	"0016021,0055085,0005215,0008643"
"Solyc00g090860.1.1"	"0055085,0016020,0005215"
"Solyc00g090870.2.1"	"0005515,0016740"
"Solyc00g093100.1.1"	"0015559,0016020,0009624,0015238,0006855,0005774,0015297"
"Solyc00g093300.1.1"	"0008270"
"Solyc00g094020.1.1"	"0009055,0006260"
"Solyc00g094520.1.1"	"0005739"
"Solyc00g094530.1.1"	"0016020,0006120,0016023,0008137,0005747,0016021,0006744,0006814,0015992"
"Solyc00g095450.1.1"	"0005515,0006520"
"Solyc00g095460.1.1"	"0008152,0005488"
"Solyc00g095760.1.1"	"0009058,0030170,0042218,0016769,0016847,0006519"
"Solyc00g095860.1.1"	"0009058,0030170,0042218,0016769,0016847,0006519"
"Solyc00g096060.1.1"	"0016787,0005529,0051028,0005524,0016021,0017111,0005634"
"Solyc00g098560.2.1"	"0004091,0006629,0016298,0016788,0016023"
"Solyc00g099580.1.1"	"0003840,0006355,0045449,0008415,0006691,0006693,0006749,0019530,0042967,0003700,0043565,0005515,0005667"
"Solyc00g100880.2.1"	"0044237"
"Solyc00g101700.1.1"	"0006468,0004707,0004708,0008595,0008592,0000165,0007298,0005524,0045500,0008293,0042386,0007173,0007178,0009069"
"Solyc00g102400.2.1"	"0006915,0006952,0043522,0005524,0005829"
"Solyc00g104200.1.1"	"0003677,0005524,0016491,0055114"
"Solyc00g104630.1.1"	"0005975,0004856,0005997,0016310"
"Solyc00g104730.1.1"	"0005975,0004650,0005576,0045490,0005982,0005985"
"Solyc00g104740.1.1"	"0003677"
"Solyc00g104940.1.1"	"0042981,0043069,0044424"
"Solyc00g105340.1.1"	"0008270,0005488,0043231"
"Solyc00g105750.1.1"	"0008270"
"Solyc00g106650.1.1"	"0003700,0043565,0046983,0006355,0005667,0045449"
"Solyc00g107050.1.1"	"0003677,0005622,0003700,0005515,0016602,0006355,0045449,0043565"
"Solyc00g110070.1.1"	"0005622,0003676"
"Solyc00g110370.1.1"	"0045449,0003677"
"Solyc00g110870.2.1"	"0004675,0005515,0006468,0004672,0016023,0005524,0005886"
"Solyc00g112180.1.1"	"0003964,0006278,0003723,0005739"
"Solyc00g112190.2.1"	"0003964,0006278,0003723,0005739"
"Solyc00g112490.1.1"	"0016020,0005509"
"Solyc00g112500.1.1"	"0005488,0019867"
"Solyc00g112600.1.1"	"0016020,0016021,0015144,0008643,0055085"
"Solyc00g112810.1.1"	"0016020,0005886,0016021,0004427,0009678,0015992,0006119"
"Solyc00g112830.1.1"	"0000166,0008152,0009055,0055114,0016491,0005488"
"Solyc00g112930.2.1"	"0004561,0016023,0005773,0006027"
"Solyc00g114550.1.1"	"0009507"
"Solyc00g117650.1.1"	"0005097,0005829,0032851"
"Solyc00g118690.1.1"	"0016020,0005743,0070469,0008137,0016021,0006120,0006744,0006814,0015992"
"Solyc00g120820.1.1"	"0055085"
"Solyc00g120830.1.1"	"0004519,0016853"
"Solyc00g120930.1.1"	"0005509,0000325,0005515,0043269,0007165,0005578,0055114,0032440"
"Solyc00g121730.1.1"	"0006508,0006259,0003676,0043229,0008270,0003824"
"Solyc00g122530.1.1"	"0016021,0055085"
"Solyc00g124840.1.1"	"0019028"
"Solyc00g124850.1.1"	"0019069"
"Solyc00g124860.1.1"	"0005524,0019069,0016787"
"Solyc00g125260.1.1"	"0008152,0000166,0016874"
"Solyc00g125270.1.1"	"0008233,0016798"
"Solyc00g125580.1.1"	"0006508,0008234"
"Solyc00g125980.1.1"	"0005743,0070469,0008137,0016021,0006120,0006744,0006814,0015992"
"Solyc00g125990.1.1"	"0055114,0006120,0008137,0005747,0019684,0006744,0006814,0015992"
"Solyc00g126000.1.1"	"0005743,0070469,0008137,0016021,0006120,0006744,0006814,0015992"
"Solyc00g126010.1.1"	"0008137,0005747,0006120,0006744,0006814,0015992"
"Solyc00g126430.1.1"	"0009116,0016763"
"Solyc00g127540.1.1"	"0016021,0046914,0055114,0004748,0009186,0005971,0006144,0006206"
"Solyc00g127550.1.1"	"0005971,0006260,0031419,0005524,0004748,0055114,0006144,0006206,0009186"
"Solyc00g127560.1.1"	"0005515,0005971,0016959,0055114,0006260,0031419,0005524,0004748,0006144,0006206,0009186"
"Solyc00g127670.1.1"	"0016020"
"Solyc00g127870.2.1"	"0017176,0009536"
"Solyc00g128870.2.1"	"0016787,0005829,0008413,0019177,0006281"
"Solyc00g130180.1.1"	"0030272,0009396,0005524,0016021"
"Solyc00g130190.1.1"	"0005737,0019363,0004516,0019358,0004514,0009435"
"Solyc00g130290.1.1"	"0016020,0006810,0005886,0016021,0005215"
"Solyc00g130690.1.1"	"0009279,0016021"
"Solyc00g130800.1.1"	"0006508,0004197"
"Solyc00g130810.1.1"	"0005515,0051082"
"Solyc00g131710.1.1"	"0003676,0005634,0015074,0000785,0003964,0006333,0003677,0003682,0006278,0003723,0004190,0006508,0008270,0006310"
"Solyc00g134820.1.1"	"0016020,0016021,0004190,0016740"
"Solyc00g134830.1.1"	"0015937,0004140,0005524,0015940"
"Solyc00g134840.1.1"	"0055085"
"Solyc00g135040.1.1"	"0005622,0003700,0006355,0005667,0045449"
"Solyc00g135050.1.1"	"0006355,0003700,0005667,0045449"
"Solyc00g135060.1.1"	"0008152,0016491,0055114,0008270,0006113"
"Solyc00g135260.1.1"	"0016740,0016747"
"Solyc00g136260.1.1"	"0004842,0008270,0016567,0005515"
"Solyc00g136560.2.1"	"0016765,0044238,0044260,0009536,0070882,0000166,0016043"
"Solyc00g138060.2.1"	"0010302,0016491,0055114"
"Solyc00g140060.2.1"	"0006508,0022626,0008240,0004252,0005774,0005739"
"Solyc00g141360.1.1"	"0000166"
"Solyc00g142160.1.1"	"0005739"
"Solyc00g145170.1.1"	"0004867"
"Solyc00g147570.2.1"	"0003779,0051014,0051015,0051017"
"Solyc00g147770.1.1"	"0046983,0044464,0003676"
"Solyc00g149970.2.1"	"0016021,0006817,0016036"
"Solyc00g153680.1.1"	"0005840,0006468,0004674,0005524,0009069"
"Solyc00g154480.1.1"	"0016020,0016829,0016760,0030244,0000287,0005982,0005985,0006011"
"Solyc00g154980.1.1"	"0003700,0005634,0006355,0080167,0005667,0045449"
"Solyc00g156980.2.1"	"0016117,0006066,0009553,0050660,0016023,0007267,0016614,0005576,0010430,0046593"
"Solyc00g157080.1.1"	"0005829,0046777,0004674,0071369,0009623,0012505,0051020,0005634,0009814,0009069"
"Solyc00g157180.2.1"	"0003676"
"Solyc00g163580.1.1"	"0008171"
"Solyc00g164680.1.1"	"0009073,0016020,0006200,0005524,0016887"
"Solyc00g166490.1.1"	"0006508,0008234"
"Solyc00g167290.1.1"	"0003676,0004527,0006259"
"Solyc00g170510.1.1"	"0005618,0030599,0016020,0042545,0005982,0005985"
"Solyc00g171810.2.1"	"0045263,0042777,0046933,0005743,0016021"
"Solyc00g173430.1.1"	"0048467,0005829,0051302,0003676,0016021,0050732,0004725,0030154,0009923,0048367,0004300,0005634,0048640,0006470,0006570,0006550,0006552,0006554,0006568,0006574,0006633,0018874,0019482,0046251"
"Solyc00g174330.2.1"	"0005576,0050832,0031640"
"Solyc00g174340.1.1"	"0005515,0005576,0050832,0031640"
"Solyc00g175240.1.1"	"0006508,0008234"
"Solyc00g178340.1.1"	"0008152,0009081,0052654,0052655,0009507,0052656"
"Solyc00g179240.1.1"	"0005634,0003700,0043565,0006355,0005667,0045449"
"Solyc00g180440.1.1"	"0005840,0000311,0003735,0009507,0006412,0019843,0000027"
"Solyc00g183050.1.1"	"0035091,0007165,0008270"
"Solyc00g184350.2.1"	"0005643,0009627,0005515,0006611"
"Solyc00g185750.1.1"	"0004725,0006470,0016311,0008138"
"Solyc00g185850.1.1"	"0016571,0008168,0005739,0000166"
"Solyc00g187050.2.1"	"0005622,0005737,0005773,0030145,0008235,0046686,0006950,0004177,0009507,0006508"
"Solyc00g196060.2.1"	"0005634,0006355,0009908,0003677,0046983,0003700,0009734,0005667,0045449"
