ITAG,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc00g021630.1.1,1.40516624,6.256609521,0.031261563,"NADH-ubiquinone oxidoreductase chain 6 (Fragment) (AHRD V1 ***- Q2PZB4_BRAOB); contains Interpro domain(s)  IPR001457  NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 ",ATMG00270,NAD6,NADH dehydrogenase subunit 6,96.06,203,3.00E-103,370,92.66055046
Solyc00g023580.1.1,-2.520965578,5.22474391,0.000222624,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g030520.2.1,-1.584395013,3.605125509,0.032392092,Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Predicted) (AHRD V1 *-*- B1MTM4_CALMO); contains Interpro domain(s)  IPR012936  Protein of unknown function DUF1692 ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g049220.1.1,1.780251224,2.804774758,0.030429427,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g052430.2.1,-1.380198725,4.055185534,0.038109254,Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA),ATMG00180,CCB452,cytochrome c biogenesis orf452,89.29,364,4.00E-167,584,94.47368421
Solyc00g072100.2.1,-3.614471836,4.0044138,2.60E-06,LTRGag-pol-polymerase 3 (AHRD V1 *-*- B2BXJ4_ARALY),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g085070.2.1,-4.560928504,8.026278521,4.28E-10,Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase ,AT4G37760,SQE3,"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)",81.45,442,0,753,95.04310345
Solyc00g096460.1.1,-1.393260357,4.589960421,0.034624532,AT4G08310 protein (Fragment) (AHRD V1 ***- B9DFL6_ARATH),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g102000.1.1,1.339094,9.550593281,0.034988713,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g121730.1.1,-3.02717863,4.454861591,4.93E-05,&aposchromo&apos domain containing protein (AHRD V1 *--- Q6L3Q3_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g131710.1.1,-2.68644097,5.907433942,7.07E-05,"Pol polyprotein (AHRD V1 *-*- POL_MLVFP); contains Interpro domain(s)  IPR001584  Integrase, catalytic core ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g142160.1.1,1.811435444,3.322213025,0.019023016,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g142170.2.1,1.590182235,4.348410851,0.024248491,"RNA-dependent RNA polymerase (AHRD V1 *-*- Q18L78_9VIRU); contains Interpro domain(s)  IPR008686  RNA-dependent RNA polymerase, mitoviral ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g186050.1.1,-1.514127134,5.336814031,0.0257805,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g195360.1.1,-1.579308432,5.318186227,0.020205987,"Serine/threonine-protein phosphatase 7 long form homolog (AHRD V1 **-- PPP7L_ARATH); contains Interpro domain(s)  IPR019557  Aminotransferase-like, plant mobile domain ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g323130.2.1,-4.681922891,3.743347765,1.49E-06,Major latex-like protein (AHRD V1 **-- B5THI3_PANGI); contains Interpro domain(s)  IPR000916  Bet v I allergen ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g005080.2.1,-1.788059993,4.432369583,0.013226272,Microtubule-associated protein MAP65-1a (AHRD V1 **** C0J9Z7_ORYNI); contains Interpro domain(s)  IPR007145  MAP65/ASE1 ,AT2G01910,ATMAP65-6,"Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria.",67.2,567,0,732,99.64285714
Solyc01g005280.2.1,-2.648093453,5.221388606,0.000303224,"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal ",AT1G14820,NA,"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)",63.18,239,4.00E-91,330,98.34024896
Solyc01g005690.2.1,1.558334686,5.086830839,0.017415912,Unknown Protein (AHRD V1),AT4G08810,SUB1,Calcium binding protein involved in cryptochrome and phytochrome coaction,68.8,391,3.00E-131,465,86.93693694
Solyc01g006110.2.1,-1.978822637,7.697182178,0.002400641,PP2A regulatory subunit TAP46 (AHRD V1 **-- B6TVR5_MAIZE); contains Interpro domain(s)  IPR007304  TAP42-like protein ,AT5G53000,TAP46,PP2A-associated protein with a possible function in the chilling response,71.11,405,2.00E-133,472,99.50738916
Solyc01g006260.2.1,2.196560879,2.755661971,0.02555466,Ribonuclease P/MRP protein subunit POP5 (AHRD V1 **** POP5_HUMAN); contains Interpro domain(s)  IPR002759  Ribonuclease P-related ,AT1G04635,EMB1687,EMB1687 (EMBRYO DEFECTIVE 1687); ribonuclease P; Identical to Probable ribonuclease P protein subunit 2 (EC 3.1.26.5) [Arabidopsis Thaliana] (GB:Q6AWV1;GB:O23021); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV67833.1); similar to Os04g0295100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052398.1); similar to OSJNBa0041M21.1 [Oryza sativa (japonica cultivar-group)] (GB:CAD40443.2); contains InterPro domain Ribonuclease P-related protein; (InterPro:IPR002759),61.38,145,4.00E-48,186,98.62068966
Solyc01g006430.2.1,-1.491750697,6.290035193,0.021098478,"Omega-6 fatty acid desaturase (AHRD V1 **** Q461Q1_HEVBR); contains Interpro domain(s)  IPR005804  Fatty acid desaturase, type 1 ",AT3G12120,FAD2,"Major enzyme responsible for the synthesis of 18:2 fatty acids in the endoplasmic reticulum. Contains His-rich motifs, which contribute to the interaction with the electron donor cytochrome b5.",73.89,383,1.00E-177,619,99.47916667
Solyc01g006490.2.1,1.655301614,3.243027148,0.034103745,Protein YdiU (AHRD V1 ***- B5N5F2_SALET); contains Interpro domain(s)  IPR003846  Uncharacterised protein family UPF0061 ,AT5G13030,NA,similar to Os06g0320700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057514.1); similar to hypothetical protein ebA6654 [Azoarcus sp. EbN1] (GB:YP_160826.1); contains InterPro domain Protein of unknown function UPF0061; (InterPro:IPR003846),77.64,568,0,959,98.60869565
Solyc01g006740.2.1,1.646577981,2.929599411,0.026400263,"Sucrose phosphate phosphatase (AHRD V1 ***- Q5J3P0_MALDO); contains Interpro domain(s)  IPR012847  Sucrose phosphatase, plant and cyanobacteria ",AT2G35840,NA,"sucrose-phosphatase 1 (SPP1); similar to sucrose-phosphatase, putative [Arabidopsis thaliana] (TAIR:AT1G51420.1); similar to sucrose phosphate phosphatase [Malus x domestica] (GB:AAS79792.1); contains InterPro domain HAD-superfamily hydrolase subfamily IIB; (InterPro:IPR006379); contains InterPro domain Sucrose phosphatase, plant and cyanobacteria; (InterPro:IPR012847); contains InterPro domain Sucrose-phosphate phosphatase; (InterPro:IPR006378); contains InterPro domain Sucrose-6-phosphate phosphohydrolase C-terminal; (InterPro:IPR013679); contains InterPro domain Sucrose-6F-phosphate phosphohydrolase, plant and cyanobacteria; (InterPro:IPR006380)",68.45,431,5.00E-172,600,98.62385321
Solyc01g007230.2.1,-1.687057892,4.228277676,0.015960133,Harpin-induced protein-like (Fragment) (AHRD V1 *--- D2CFH8_COFAR); contains Interpro domain(s)  IPR010847  Harpin-induced 1 ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g007710.2.1,-1.553529525,8.915144572,0.01474656,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g007880.2.1,-2.294295177,4.456367415,0.001362902,"MORN repeat protein (AHRD V1 *--- D4V7H0_BACVU); contains Interpro domain(s)  IPR019746  Tubulin/FtsZ, N-terminal ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g007890.1.1,-2.033356209,2.476291432,0.026538344,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g008140.2.1,1.510518942,4.60060756,0.029627745,Receptor kinase (AHRD V1 **** B8XA57_GOSBA); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT2G02220,ATPSKR1,"Encodes a protein interacting with phytosulfokine, a five amino acid sulfated peptide (YIYTQ).",59.43,1013,0,1107,98.86363636
Solyc01g008310.2.1,1.496190892,6.485697387,0.020887727,"Phenylalanyl-tRNA synthetase beta chain (AHRD V1 **** B6SHI1_MAIZE); contains Interpro domain(s)  IPR004531  Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archae/euk cytosolic ",AT1G72550,NA,"tRNA synthetase beta subunit family protein; Identical to Probable phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20) (Phenylalanine--tRNA ligase beta chain) (PheRS) [Arabidopsis Thaliana] (GB:Q9SGE9); similar to Os05g0558900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056297.1); similar to B3/4 [Medicago truncatula] (GB:ABE85094.1); contains InterPro domain B3/4; (InterPro:IPR005146); contains InterPro domain Phenylalanyl-tRNA synthetase, beta subunit archae/euk cytosolic; (InterPro:IPR004531); contains InterPro domain tRNA synthetase, B5; (InterPro:IPR005147); contains InterPro domain Putative DNA binding; (InterPro:IPR009061)",70.45,582,0,845,99.48006932
Solyc01g008530.2.1,1.339110751,5.197743248,0.037721368,Cinnamoyl CoA reductase-like protein (AHRD V1 ***- B9HNY0_POPTR); contains Interpro domain(s)  IPR016040  NAD(P)-binding domain ,AT1G51410,NA,"similar to Eucalyptus gunnii alcohol dehydrogenase of unknown physiological function (GI:1143445), apple tree, PIR:T16995; NOT a cinnamyl-alcohol dehydrogenase",74.45,317,1.00E-144,509,96.04863222
Solyc01g008800.1.1,-3.904098619,4.318991489,6.93E-07,"Tir-nbs-lrr, resistance protein",NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g008930.2.1,-3.619926669,5.618269841,8.15E-07,Phycoerythrobilin ferredoxin oxidoreductase (AHRD V1 **** Q6E5A3_MAIZE); contains Interpro domain(s)  IPR009249  Ferredoxin-dependent bilin reductase ,AT3G09150,ATHY2,"Required for biosynthesis of the tetrapyrrole phytochrome chromophore phytochromobilin.  Encodes phytochromobilin synthase, a ferredoxin-dependent biliverdin reductase.  It is necessary for coupling the expression of some nuclear genes to the functional state of the chloroplast.",60.92,284,5.00E-106,381,82.50728863
Solyc01g009340.2.1,-2.546940418,4.450670066,0.000805559,Calmodulin-binding protein family-like (AHRD V1 **-* Q6YXT2_ORYSJ); contains Interpro domain(s)  IPR000048  IQ calmodulin-binding region ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g009380.2.1,1.622849504,3.54648264,0.035556323,Nicalin (AHRD V1 ***- B4FZF8_MAIZE); contains Interpro domain(s)  IPR008710  Nicastrin ,AT3G44330,NA,similar to PREDICTED: similar to nicalin [Tribolium castaneum] (GB:XP_971811.1); similar to Os08g0102100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060766.1); contains InterPro domain Nicastrin; (InterPro:IPR008710),72.76,558,0,753,98.40989399
Solyc01g009900.2.1,-3.254282141,2.715788224,0.010506157,"Glutaredoxin (AHRD V1 ***- B9GF65_POPTR); contains Interpro domain(s)  IPR011905  Glutaredoxin-like, plant II ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g010000.2.1,-1.978990431,3.323096953,0.014099575,ACT domain-containing protein (AHRD V1 **-- D7M3X3_ARALY); contains Interpro domain(s)  IPR002912  Amino acid-binding ACT ,AT1G69040,ACR4,ACT-domain containing protein involved in feedback regulation of amino acid metabolism,53.39,457,2.00E-132,469,98.66666667
Solyc01g010270.2.1,-1.729365461,4.995031862,0.013233599,Nitrilase associated protein-like (Fragment) (AHRD V1 *--- Q1HEA6_MUSAC),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g010390.2.1,-1.693352995,4.181345772,0.018349666,"Beta-glucosidase (AHRD V1 ***- D3YJ59_VITVI); contains Interpro domain(s)  IPR001360  Glycoside hydrolase, family 1 ",AT1G26560,BGLU40,"glycosyl hydrolase family 1 protein; similar to glycosyl hydrolase family 1 protein [Arabidopsis thaliana] (TAIR:AT5G54570.1); similar to Os03g0212800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049358.1); similar to beta-glucosidase, putative [Medicago truncatula] (GB:ABE90952.1); similar to Putative beta-glucosidase [Oryza sativa] (GB:AAK92581.1); contains InterPro domain Glycoside hydrolase, family 1; (InterPro:IPR001360)",70.66,484,0,754,95.07874016
Solyc01g011450.1.1,-6.196604975,2.99925705,1.17E-05,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g011480.1.1,-1.327398745,6.60654399,0.038296828,Photosystem II CP43 chlorophyll apoprotein (AHRD V1 ***- B7T461_9ROSI); contains Interpro domain(s)  IPR000932  Photosystem antenna protein-like ,ATCG00280,PSBC,chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.,79.17,72,4.00E-29,122,82.55813953
Solyc01g014230.2.1,-1.461689132,4.835880996,0.034355488,U-box domain-containing protein 4 (AHRD V1 **-- PUB4_ARATH); contains Interpro domain(s)  IPR011989  Armadillo-like helical ,AT2G23140,NA,armadillo/beta-catenin repeat family protein / U-box domain-containing protein; similar to armadillo/beta-catenin repeat family protein / U-box domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G54790.1); similar to Os08g0110500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060820.1); similar to arm repeat-containing protein [Nicotiana tabacum] (GB:AAO61490.1); contains InterPro domain Armadillo; (InterPro:IPR000225); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain U box; (InterPro:IPR003613),56.92,831,0,839,99.75369458
Solyc01g015220.1.1,-2.057865,2.543392397,0.02555466,Polyprotein (Fragment) (AHRD V1 **-- Q6UTY7_ORYSJ); contains Interpro domain(s)  IPR000953  Chromo domain ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g016560.1.1,-1.663888173,2.76644664,0.046441783,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g016950.1.1,-2.767063796,4.177555069,0.000136956,"Transposon Ty1-PL Gag-Pol polyprotein (AHRD V1 ***- YP11B_YEAST); contains Interpro domain(s)  IPR001584  Integrase, catalytic core ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g017330.1.1,-2.747827888,5.460888271,6.78E-05,Photosystem I P700 chlorophyll a apoprotein A1 (AHRD V1 ***- D3WCE1_NEROL); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB ,ATCG00350,PSAA,Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome.,59.46,185,4.00E-52,199,98.56115108
Solyc01g017360.1.1,-1.398015617,4.385063312,0.044056235,"DNA-directed RNA polymerase subunit beta (AHRD V1 ***- D3WBC8_9BORA); contains Interpro domain(s)  IPR015712  DNA-directed RNA polymerase, subunit 2 ",ATCG00190,RPOB,Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.,86.96,92,2.00E-43,170,96.80851064
Solyc01g017480.1.1,-1.748494364,3.889991922,0.01434524,Ycf1 (Fragment) (AHRD V1 ***- A6YA12_LIQST); contains Interpro domain(s)  IPR008896  Ycf1 ,ATCG01130,YCF1.2,Identical to Putative membrane protein ycf1 (ycf1-B) [Arabidopsis Thaliana] (GB:P56785); similar to hypothetical chloroplast RF1 [Gossypium hirsutum] (GB:YP_538982.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41305.1); similar to hypothetical chloroplast RF1 [Eucalyptus globulus subsp. globulus] (GB:YP_636357.1); contains InterPro domain Ycf1; (InterPro:IPR008896),71.21,132,8.00E-40,158,90.625
Solyc01g020220.1.1,-2.052837941,4.537582925,0.004478395,"Replication factor C subunit 5 (AHRD V1 ***- B6T5I0_MAIZE); contains Interpro domain(s)  IPR019483  DNA polymerase III, clamp-loader complex, subunit E, C-terminal ",AT5G27740,EMB161,"nucleoside-triphosphatase/ nucleotide binding; similar to EMB1968 (EMBRYO DEFECTIVE 1968), ATPase [Arabidopsis thaliana] (TAIR:AT1G21690.1); similar to Os03g0792600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051525.1); similar to replication factor C 38 kDa subunit [Oryza sativa (japonica cultivar-group)] (GB:BAC76086.1); contains InterPro domain Replication factor C conserved region; (InterPro:IPR000862); contains InterPro domain DNA polymerase III clamp loader subunit, C-terminal; (InterPro:IPR008921); contains InterPro domain AAA ATPase; (InterPro:IPR003593)",74.18,337,9.00E-123,436,99.00990099
Solyc01g020230.2.1,3.01084017,2.380727334,0.004652202,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g022780.1.1,-3.703187781,3.956971488,1.13E-05,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g028870.2.1,-1.727912803,2.748338068,0.030429427,N utilization substance protein B homolog (AHRD V1 *-*- D5S311_CLODI); contains Interpro domain(s)  IPR006027  NusB/RsmB/TIM44 ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g028930.2.1,2.364932207,3.515020274,0.001754421,TATA-box binding protein (AHRD V1 ***- Q9ZTX5_PHAVU); contains Interpro domain(s)  IPR000814  TATA-box binding ,AT1G55520,ATTBP2,"TATA-box binding protein. Required for basal transcription. Acts facilitating the recruitment of TFIID to the promoter, which together with the RNA polymerase form the preinitiation complex.",94.5,200,5.00E-109,389,97.54901961
Solyc01g028970.1.1,-3.887561294,5.370313585,2.67E-07,Retrotransposon gag protein (AHRD V1 ***- Q0KIS1_SOLDE); contains Interpro domain(s)  IPR005162  Retrotransposon gag protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g044250.1.1,-2.295373359,7.590132178,0.000456264,Photosystem II CP43 chlorophyll apoprotein (AHRD V1 ***- B8R498_TRISU); contains Interpro domain(s)  IPR000932  Photosystem antenna protein-like ,ATCG00280,PSBC,chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element.,92.65,68,4.00E-32,132,90.54054054
Solyc01g049690.2.1,-2.232602366,3.809711421,0.002496408,"Transcriptional activator protein Pur-alpha (AHRD V1 ***- C1BSV9_9MAXI); contains Interpro domain(s)  IPR006628  PUR-alpha/beta/gamma, DNA/RNA-binding ",AT2G32080,PUR,similar to the conserved animal nuclear protein PUR alpha which was implicated in the control of gene transcription and DNA replication,87.37,95,4.00E-46,179,81.03448276
Solyc01g049700.2.1,-2.284605863,3.798832436,0.001569037,Retrotransposon gag protein (AHRD V1 *--- Q0KIS1_SOLDE); contains Interpro domain(s)  IPR000953  Chromo domain ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g056770.1.1,-5.774654546,4.91296144,4.31E-10,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc01g057320.1.1,1.367181019,4.498767504,0.046291044,"Kinesin-like protein (AHRD V1 ***- Q75LL2_ORYSJ); contains Interpro domain(s)  IPR001752  Kinesin, motor region ",AT3G17360,POK1,"PHRAGMOPLAST ORIENTING KINESIN 1 is one of the two Arabidopsis homologs isolated in yeast two-hybrid screen for interaction partners of maize gene TANGLED1 (TAN1). Based on sequence homology in their motor domains, POK1 and POK2 belong to the kinesin-12 class which also includes the well-characterized group of phragmoplast-associated kinesins AtPAKRPs. Both kinesins are composed of an N-terminal motor domain throughout the entire C terminus and putative cargo binding tail domains. The expression domains for POK1 constructs were more limited than those for POK2; both are expressed in tissues enriched for dividing cells. The phenotype of pok1/pok2 double mutants strongly resembles that of maize tan1 mutants, characterized by misoriented mitotic cytoskeletal arrays and misplaced cell walls. We propose that POK1and POK2.",55.95,756,0,759,96.3165075
Solyc01g057830.2.1,-1.277961919,6.521859935,0.047704266,"30S ribosomal protein S1 (AHRD V1 **-- B4FUZ5_MAIZE); contains Interpro domain(s)  IPR003029  Ribosomal protein S1, RNA binding domain ",AT5G30510,ARRPS1,"RPS1 (ribosomal protein S1); RNA binding; similar to S1 RNA-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G71720.1); similar to 30S ribosomal protein S1, chloroplast precursor (CS1) (GB:P29344); contains InterPro domain Nucleic acid-binding, OB-fold, subgroup; (InterPro:IPR012340); contains InterPro domain Nucleic acid-binding, OB-fold; (InterPro:IPR008994); contains InterPro domain Ribosomal protein S1; (InterPro:IPR000110); contains InterPro domain RNA binding S1; (InterPro:IPR003029)",84.62,364,9.00E-168,586,87.40920097
Solyc01g059870.2.1,-1.971120373,3.791192165,0.005825977,Phytochrome B1,AT2G18790,HY3,Red/far-red photoreceptor involved in the regulation of de-etiolation. Exists in two inter-convertible forms: Pr and Pfr (active). Involved in the light-promotion of seed germination and in the shade avoidance response.,78.2,1110,0,1824,97.17314488
Solyc01g059930.2.1,-1.64416814,4.699955947,0.025628775,Universal stress protein (AHRD V1 ***- D6BRD7_9ROSI); contains Interpro domain(s)  IPR006016  UspA ,AT3G17020,NA,universal stress protein (USP) family protein; similar to universal stress protein (USP) family protein / early nodulin ENOD18 family protein [Arabidopsis thaliana] (TAIR:AT3G03270.2); similar to Os05g0157200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054704.1); similar to USP family protein [Triticum aestivum] (GB:AAX13276.1); contains InterPro domain Universal stress protein (Usp); (InterPro:IPR006015); contains InterPro domain UspA; (InterPro:IPR006016),65.82,158,2.00E-60,227,95.73170732
